Yelp ID,Business name,Category,Average star rating,Review count,Price,Ambience,mean_compound,pct_positive,pct_negative,cluster
7J6CZJX-xabrytCgF7P-Zw,Restaurant Sultan,Restaurants,4.3,3,$,,0.852,100.0,0.0,0
kJtIGAoNJ6yuaNE5Er16dg,Birthes Smørrebrød,Open Sandwiches,5.0,2,,,,,,3
Kz617M-ghSoGC9KDSLxEQA,The American Pie Company,"American, Desserts",4.5,92,$,,0.634,85.7,0.0,6
yHCImZFK75Pbsksq2JuUTg,Isted Grill,"Fast Food, Imported Food",4.3,29,$,,0.429,85.7,0.0,0
HlncUJWMRsHZq6dA-Xrdzw,Københavner Cafeen,"Bars, Danish, Open Sandwiches",4.0,49,$,,0.498,71.4,0.0,0
A22O6Xd9AKT49UvxvA-9wg,Bryggeriet Apollo,"Restaurants, Beer, Wine & Spirits, Breweries",3.3,8,$$$,,0.102,50.0,50.0,2
RX-N1kSl2JN9XVGB9LrcvA,The Silo,"Cocktail Bars, Bistros",4.3,11,,,,,,3
FZYTd9p8OVmNX4-RkKk-EA,Østerbro Madhus,Restaurants,5.0,1,,,,,,3
e_rAIXOi59j1XgHxbtKrpw,Sushi Anaba,"Sushi Bars, Japanese",5.0,5,,,,,,3
AX_zR1XaELPhj7P0YLa_Wg,Buvette Nordhavn,"French, Wine Bars",4.0,3,,,,,,5
CIgTdIjsXaiC1FVtPVLTCA,Co-ma,"Italian, French, Cocktail Bars",4.0,9,$$,,0.523,66.7,16.7,5
gPIDM2H6y_eSly3vc5jIYQ,Restaurant Taormina,Italian,5.0,7,,cozy,,,,3
Xu3gMeCBuvQj8ytU6A71BA,Reffen Skøjteøen - Copenhagen Street Food,"Public Markets, Food Stands",4.8,51,$,,0.528,85.7,0.0,0
MQNELlGuUPqxxLux3JHbmg,Cap Horn,Scandinavian,3.9,99,$$,,0.134,57.1,42.9,6
n1SK8zMzbGrwrWLKKCanFw,Det Simrer,"Breakfast & Brunch, Danish",4.6,7,,,,,,3
1v5HhnqcOQ_6mnqTY5gP0w,Toldboden,"Breakfast & Brunch, Fish & Chips, Cocktail Bars",3.5,61,$$,,0.615,100.0,0.0,6
dYjsMKzXYPx8C0sXOjI_cg,2fresh,"Sandwiches, Bagels, Juice Bars & Smoothies",4.5,6,$,,0.313,50.0,50.0,0
