Yelp ID,Business name,Category,cluster
PAcgJp-snmbNFOpRMZaJcg,Restaurant Paustian,Restaurants,0
9jP_S4A4PBvevdrZUaFJRQ,Ravage,French  Bistros,0
AYqdfMYHJOBzHNeYiA5BbQ,Khun Juk Oriental,Thai,2
vjkBt6FmMrUroSPEP4xs0w,Restaurant Koefoed,Danish,2
gDDBcd3CEVdp5_AyDT05mQ,Bar'vin,Tapas/Small Plates  Brasseries  Wine Bars,0
tCF2CAnypL9EjEeadxOqFg,Iki Sushi,Japanese  Sushi Bars,0
1yZqy0O5C3d-n4OhX0DBDQ,Nærvær,Restaurants  Wine Bars,0
fuip3TOordirBcsqcqaOkQ,Gasoline Grill,Burgers,0
YKI-nG39bI1Jb0_wJR9Euw,Thai Curry,Thai  Wok,2
T8u5Ze-KcXts6sl9xP-_dw,Amalie,Danish,2
xj1cgF8xUqEn3MSB96HrJA,Hafnia Bar,Salad  Vegetarian  Vegan,0
LkBEFkFAgzcwjyHnObh_Vg,Alouette,Restaurants,0
hYWTEuRIVosWlKCt2Gm71w,Restaurant Ida Davidsen,Scandinavian,2
EjoU5v0xKwElLUu7L8rYxg,Zio&Nonna,Italian  Pizza,0
pBmBHI_wuoxSj446bCOGLA,Hyttefadet,Modern European,2
4wlCf4vtIkZKiVwBml-3Ew,Cafe Sundet,Restaurants,0
G9Y9Vs2LDTkWlLDn25zHpA,Crazy Chicken,Danish  Fast Food,0
haU818Cq7NW8vaP1wW79Mg,Christianshavns Færgecafé,Open Sandwiches  Danish  Brasseries,0
v_ONL4ewpRl92C8VsL35EQ,DØP,Hot Dogs  Organic Stores,0
yclt1P8Px0Hn9-zgmLs7fg,Restaurant Biom,Organic Stores  Breakfast and Brunch  Scandinavian,0
p3WN7WTe0OcH13qurPFLeA,Maven restaurant & vinbar,Danish  Wine Bars,0
kfll5bnCbMrJB31ODtuspA,Papadum,Indian,2
dhARyK1iDpE5hz2sPn-fgw,Illum Rooftop,Restaurants,0
BXAXgVKEIEwwpbHwbwZucg,Amass Restaurant,Scandinavian  Modern European,2
