Yelp ID,Business name,Average star rating,Price,review_snippets,mean_compound,pct_positive,pct_neutral,pct_negative
GVAQJiW9IQE3-f9tE5rEzw,Café Staalvand,3.4,$,5,0.711,100.0,0.0,0.0
tfY6Ho3rO9KyQDZId2UAFQ,Sofie Kælderen,3.8,$,6,0.711,100.0,0.0,0.0
ZfO87ew3NH3C5kP1qYLsVQ,Taste House Of Cascabel,4.2,$,5,0.704,100.0,0.0,0.0
OwO4EXYuwsHacuNjcypqlw,Coffee First,4.1,$$,7,0.704,85.7,14.3,0.0
EFJueGHxBlNrn5zKTVdcOg,Kaffeslabberasen,3.8,$,7,0.701,85.7,14.3,0.0
_h9FOpRYRUW3fjVIBdf7dQ,The Bagel Co,4.1,$,6,0.698,100.0,0.0,0.0
FQV_vLM8-BxyL2isS20hrA,Cub Coffee Bar,4.3,$,2,0.697,100.0,0.0,0.0
iYs4CZRYTvRV6WE5XfznyQ,Kaffebar 78,5.0,$,2,0.697,100.0,0.0,0.0
e4YUq8prWgPEGLK38cMtqg,Kafferiet,4.2,$$,7,0.693,100.0,0.0,0.0
c4KA0OBJkX4I15-GYA3v1w,Arabica,4.1,$,6,0.691,83.3,16.7,0.0
Ry-RC5DDu9Ql62SIMD6uoA,Kaf' Bar 9,4.0,$,7,0.691,85.7,0.0,14.3
W6kTqepL8pNYHRHMgybOfg,Peter Beier Chokolade,4.3,$$$,2,0.69,100.0,0.0,0.0
wJwlk1EHbjISvEO2s9qpIg,Riccos Kaffebar,3.8,$$,2,0.689,100.0,0.0,0.0
Bm2a-NxLOrKXQ77VsBD_hQ,Cafe Ermanno,4.7,$,7,0.689,100.0,0.0,0.0
4oe1xQmXerGxCI9eF4bgRQ,Democratic Coffee Bar,4.2,$,7,0.689,100.0,0.0,0.0
AADGbW93TV_KH1iqvAA_aA,Baryl,4.5,$,7,0.688,100.0,0.0,0.0
ZWLadq6W3e2y84VvjHo2Iw,Det Rene Brød,4.3,$$,4,0.688,100.0,0.0,0.0
LJELklcFTsfSzW-IxUua7w,Espresso House,3.7,$,7,0.687,100.0,0.0,0.0
aigwhsN9eQ_v0I8nAZZrFA,Café Feel Good,4.6,$,7,0.687,100.0,0.0,0.0
9llgG4Sf8u7Y17hpf0-nwA,Risteriet Halmtorvet,4.2,$,7,0.686,100.0,0.0,0.0
wa8QR1M4w_FrWNSEnmdydw,Superkaffeforsyningen,3.3,$$,5,0.685,100.0,0.0,0.0
ba2eTMZlG73QswQgKMyrpQ,Brød Værten,3.0,$$,3,0.684,100.0,0.0,0.0
w50WDdFurHAnqgzvpruBsg,Juno the Bakery,4.8,$$,7,0.682,100.0,0.0,0.0
6CGmp9Yk8brpIGPWU5r7PA,Holm's Bager,3.3,$,3,0.679,100.0,0.0,0.0
Y5mpYpGiC0cGrlM602k6mQ,Cortado Kaffebar,3.5,$,7,0.678,100.0,0.0,0.0
_0ZR-E6fFBI3togPFBgzCA,Dessertdragens Kageværksted,4.5,$$$,3,0.673,100.0,0.0,0.0
jptVzSRvP7bq6WfXO4NkjQ,Meny,4.2,$$$,2,0.672,100.0,0.0,0.0
PlSiSYLxZvqXIxgJEaSRWQ,Social,4.5,$,7,0.672,85.7,14.3,0.0
0D8cVOKRS1Kcb_ztSAoPxA,Le Coin,4.7,$,3,0.67,100.0,0.0,0.0
MbPtrcP82IT7icSFtjBliQ,Coffee Room,3.7,$,6,0.668,83.3,0.0,16.7
JHGJVo2jNoaISbD9AOy0Dw,Café Blå Time,4.0,$$,6,0.665,100.0,0.0,0.0
4jp0LtYTYKc83jCSqMzCPA,Riccos Kaffebar,4.3,$,3,0.664,100.0,0.0,0.0
ai0qAm6WSOH2YYKNl9QBFA,Parterre,4.4,$,7,0.663,100.0,0.0,0.0
xyrU1vi2dmGmHZtvnYaCHw,Lagkagehuset,4.3,$,7,0.662,85.7,0.0,14.3
e1Ajai24UAt2VUIQ51GifA,Joe & The Juice,3.2,$$,7,0.661,85.7,14.3,0.0
RLIiVISTFRGlbphQ3o3VxA,Bertels Salon,3.9,$$,7,0.661,85.7,14.3,0.0
jQ51tU9Fy3SgB5zJ0YCTNw,Lagkagehuset,4.3,$$,7,0.66,85.7,14.3,0.0
Obi4FxA_33AQI4GjJgr74Q,No. 11,3.7,$$,7,0.659,85.7,0.0,14.3
RdiZmLyiC5J5f20XpRF_rw,42Raw,4.0,$$,7,0.658,85.7,0.0,14.3
qL-Bs5qvonN4qdu0Z5fqBA,The Living Room,4.1,$$,7,0.653,85.7,0.0,14.3
k17GqXMJWXkY2TOc3gXpUA,Vores Brød,4.6,$$,5,0.65,80.0,20.0,0.0
l8MNckNRrV7wtr-ddvVCBg,Kalaset,3.9,$,7,0.65,100.0,0.0,0.0
h59nQtF8Qx0tEdJUo_61Lg,Café Phønix,3.6,$,7,0.647,85.7,0.0,14.3
tZlQbXv6fDYxH67p6zwpzw,Mormors,3.8,$,7,0.647,85.7,0.0,14.3
BEU6KgxOfFlEoQNcA437Dw,Sporvejen,3.9,$,7,0.645,85.7,14.3,0.0
_l7xx9uzB5pRRr-t3e9tNA,CUB Coffee Bar,4.3,$,7,0.641,100.0,0.0,0.0
3sji5HUhh0r8fKoXVGGAFg,The Coffee Factory,3.9,$,7,0.64,85.7,14.3,0.0
9oIfPY6YROTR2leTua9gDA,Buzz Kaffebar,4.0,$,7,0.639,85.7,14.3,0.0
1A3Py4X14kJFcyFgFvfh5w,Barcelona,2.2,$$,1,0.637,100.0,0.0,0.0
Tu0HZXUXGb96P_TIbDf2vw,Café Væksthuset,3.3,$,2,0.637,100.0,0.0,0.0
WVvP58sLEM7f9K34wzWjBw,Dag H - café og restaurant,3.2,$$,7,0.637,85.7,14.3,0.0
nMfplJbDRetZaTtKh1_A8Q,Taste of Taiwan Bubble Tea - Indre by,4.2,$,7,0.636,85.7,14.3,0.0
neacr5cYzz5mDcbd6ga7Hg,Te Amo,4.0,$,1,0.636,100.0,0.0,0.0
jfrtgNsfE_CyqLNHFLg36w,The Union Bar,3.2,$$,2,0.635,100.0,0.0,0.0
5v9Xnbb3x2AJI1P-jkDcqQ,Den Lille Gule Kaffebar,4.4,$$,7,0.631,100.0,0.0,0.0
rR6iAdZB932_7cFPKeU9xQ,Grannys House,3.8,$$,7,0.626,85.7,14.3,0.0
yA6UuzmRQb0PC7Hf3m8F5g,Resso Roasthouse,4.0,$,1,0.625,100.0,0.0,0.0
60tSNcLjBZhUKq-1_IF8-g,Verdensrummet,4.0,$,3,0.625,100.0,0.0,0.0
f8Eu6u2pDzdsammMaydRYw,Kaffeplantagen,3.8,$,6,0.623,83.3,16.7,0.0
dnrJke8wfHesazSljyGKDg,Tea:licious Café,4.1,$,7,0.623,100.0,0.0,0.0
g7uOOY2DJ8BgEYWghhtbIA,Snabel B,4.2,$,7,0.623,85.7,0.0,14.3
HLqznMliyB2gu1fELI0HOg,Hotel Chocolat,4.4,$$,7,0.622,100.0,0.0,0.0
wdVClx28XFTNHYLOx6Is4A,Sokkelund Cafe & Brasserie,4.2,$$,7,0.621,85.7,0.0,14.3
AQDl14xqvB9bw0CXbbr6_g,Peter Beier Chokolade,4.4,$$$,2,0.621,100.0,0.0,0.0
BOsyEAd2VpjGKKjhr1OJ_g,Kaf,4.6,$,7,0.618,100.0,0.0,0.0
yV79JYHN_iThP8RK-K4MWg,Cafe Wilder,4.1,$$,7,0.617,85.7,14.3,0.0
uChoEdFyJiBnApt4y1jrKg,Lagkagehuset,3.5,$$$,6,0.616,100.0,0.0,0.0
LA3DjHXWPqz9wT3ewN1Heg,Græsk Smag,4.2,$,7,0.615,71.4,28.6,0.0
XoLeE4DgdRT7cc4o7WCzlQ,Sort Kaffe og Vinyl,4.0,$$,3,0.613,100.0,0.0,0.0
kFvu1gAJPIUWN5wY7oEJSA,Sweet Surrender,3.8,$,1,0.612,100.0,0.0,0.0
yMCVS-JNpreYRzGdIlQESw,Wulff og Konstali Food Shop,4.2,$,7,0.612,100.0,0.0,0.0
PKC2ewu9UD_hVPlw8zsy1w,Askov Fonden Café A,4.0,$,1,0.612,100.0,0.0,0.0
hvdJAy9aM8jTVyoFijuR2Q,Emmerys,4.0,$$,7,0.61,85.7,14.3,0.0
tJAMNrEO0nxJey5VDvtN4A,Roast Coffee,4.8,$,7,0.609,100.0,0.0,0.0
ERLaIS0C20_Ov55JUBI4YQ,Analog,4.4,$,3,0.609,100.0,0.0,0.0
SGqE7VmQXLIXRLIZ0w_Cew,Joe & The Juice,3.7,$,5,0.608,80.0,20.0,0.0
m8ETTRP8uk7yCMUUBuAyyQ,Tjili Pop,3.7,$,7,0.607,85.7,14.3,0.0
bcb2J89XxG6JUyh_5wl8Fw,Din Nye Ven,3.9,$,6,0.605,83.3,16.7,0.0
nl8Iyg4g1Cha8Bkz4q-l3Q,Wild Kiwi Pies,4.5,$,7,0.599,85.7,14.3,0.0
